restaurant_name,name,award,price,cuisine,latitude,longitude
nouri,Nouri,1 Star,$$$$,Innovative,1.28086,103.84713
summer pavilion,Summer Pavilion,1 Star,$$,Cantonese,1.291284,103.8603
cut,CUT,1 Star,$$$,Steakhouse,1.2857261,103.8597843
shisen hanten,Shisen Hanten,1 Star,$$,"Sichuan, Cantonese",1.302395,103.8365
sushi ichi,Sushi Ichi,1 Star,$$$$,Sushi,1.305105,103.8324
burnt ends,Burnt Ends,1 Star,$$$,Barbecue,1.3048886,103.8086664
labyrinth,Labyrinth,1 Star,$$$,"Innovative, Singaporean",1.2897489,103.8563
imperial treasure fine teochew cuisine (orchard),Imperial Treasure Fine Teochew Cuisine (Orchard),1 Star,$$,Teochew,1.304144,103.83147
chaleur,Chaleur,1 Star,$$$,Innovative,1.279252,103.842122
araya,Araya,1 Star,$$$$,"Innovative, Chilean",1.278868,103.841816
buona terra,Buona Terra,1 Star,$$$,Italian Contemporary,1.3107414,103.8348231
pangium,Pangium,1 Star,$$$,Peranakan,1.3143675,103.8092377
candlenut,Candlenut,1 Star,$$,Peranakan,1.3058588,103.8100724
jag,Jag,1 Star,$$$,French Contemporary,1.29094,103.84028
willow,Willow,1 Star,$$$,Asian Contemporary,1.2874604,103.8473514
hamamoto,Hamamoto,1 Star,$$$$,Sushi,1.2779413,103.8441838
whitegrass,Whitegrass,1 Star,$$$,French Contemporary,1.2955388,103.8519798
summer palace,Summer Palace,1 Star,$$$,Cantonese,1.3046521,103.8247494
born,Born,1 Star,$$$$,Innovative,1.2803952,103.843918
seroja,Seroja,1 Star,$$$,"Malaysian, Contemporary",1.2998671,103.858076
marguerite,Marguerite,1 Star,$$$,European Contemporary,1.2849725,103.8639515
